Wall time,Step,Value,Loss
1673085445,179,3.414140701,1.454786539
1673085445,180,3.320790052,1.921550035
1673085446,181,3.460041285,1.942324638
1673085447,182,3.420040607,1.432048678
1673085447,183,3.353495598,2.101694584
1673085448,184,3.399327517,2.139131069
1673085449,185,3.293528795,2.216807127
1673085449,186,3.129003048,1.452097178
1673085450,187,2.972958088,1.813459158
1673085451,188,3.224031925,1.806604385
1673085451,189,3.361679554,1.691377878
1673085452,190,3.280060053,1.529973149
1673085453,191,2.996273756,1.907150149
1673085453,192,3.356027365,1.651911974
1673085454,193,3.312485456,1.402661562
1673085455,194,3.009356499,1.475103378
1673085455,195,2.850138903,1.658539653
1673085456,196,2.981198311,1.558354497
1673085457,197,3.168314695,1.630302191
1673085457,198,3.145026445,1.634228706
1673085458,199,2.756087542,1.429674864
1673085459,200,2.712140322,1.852175117
1673085459,201,2.873439312,1.871562123
1673085460,202,3.065646648,1.557281613
1673085461,203,2.757427692,1.36037457
1673085461,204,2.862568617,1.289218307
1673085462,205,2.895478487,1.340323567
1673085463,206,3.260591507,1.242704749
1673085463,207,3.117357254,1.702539682
1673085464,208,3.038580894,1.758764505
1673085465,209,2.939639091,1.561852217
1673085465,210,2.710049152,1.530290842
1673085466,211,2.841799021,1.453037262
1673085467,212,2.963849545,1.435974002
1673085467,213,2.788578272,1.489322782
1673085468,214,2.883733749,1.197230697
1673085469,215,2.903422832,1.464099526
1673085469,216,2.993076801,1.540416121
1673085470,217,2.858613014,1.990688562
1673085471,218,2.642606497,1.864589691
1673085471,219,2.73879981,1.535948038
1673085472,220,2.750571966,1.363178015
1673085473,221,2.80657506,1.275040388
1673085473,222,2.624904394,1.285261869
1673085474,223,2.721758366,1.290904164
1673085475,224,2.64018631,1.339256883
1673085475,225,2.536296606,1.686995625
1673085476,226,2.462912321,1.472269893
1673085477,227,2.632017136,1.315974116
1673085477,228,2.825551271,1.813946962
1673085478,229,2.715518951,1.415357947
1673085479,230,2.837037563,1.239417076
1673085479,231,2.540602207,1.472905278
1673085480,232,2.592429399,1.427965999
1673085481,233,2.813022375,1.159950495
1673085481,234,2.718373299,1.465673089
1673085482,235,2.6813097,1.316845298
1673085483,236,2.394043446,1.540632486
1673085483,237,2.590993166,1.248843908
1673085484,238,2.647100925,1.252690196
1673085485,239,2.639546871,2.04823184
1673085485,240,2.658600569,1.234793067
1673085486,241,2.616316319,1.37032342
1673085487,242,2.586059809,1.315740705
1673085487,243,2.550289154,1.455065012
1673085488,244,2.575870037,1.359297395
1673085489,245,2.607478619,1.246124625
1673085489,246,2.453430414,1.089851618
1673085490,247,2.536640167,1.104113579
1673085491,248,2.469177723,1.521925807
1673085491,249,2.401119947,1.16673398
1673085492,250,2.434264898,1.008429408
1673085493,251,2.588793039,1.288107514
1673085493,252,2.349240065,1.756646276
1673085494,253,2.56542635,1.069298506
1673085495,254,2.543773174,1.153159261
1673085496,255,2.566601038,1.087991118
1673085496,256,2.529523611,1.42261672
1673085497,257,2.662067175,1.183837295
1673085498,258,2.565032005,1.216325998
1673085499,259,2.764642,1.639881253
1673085499,260,2.443631411,1.103089809
1673085500,261,2.147871494,1.740422249
1673085501,262,2.196034193,1.106990457
1673085502,263,2.250932455,1.290660739
1673085502,264,2.491597414,0.979708254
1673085503,265,2.409776926,1.377207994
1673085504,266,2.57943964,1.223797798
1673085504,267,2.306479931,1.497416615
1673085505,268,2.154030323,1.251214027
1673085506,269,2.349690676,1.724178672
1673085506,270,2.364015341,1.536034584
1673085507,271,2.27652669,1.453246713
1673085508,272,2.18421793,0.884989858
1673085509,273,2.128112316,1.714536309
1673085509,274,2.194354773,1.243050218
1673085510,275,2.070983887,1.106662989
1673085511,276,2.252369165,1.06455195
1673085512,277,2.22179842,1.45524025
1673085512,278,2.252317905,1.548084617
1673085513,279,2.31943965,0.909964383
1673085514,280,2.217996359,1.426005721
1673085515,281,2.310695171,1.363669991
1673085515,282,2.243145943,1.245151639
1673085516,283,2.306741238,0.924301267
1673085517,284,2.178867102,1.113067985
1673085517,285,2.325138569,1.869310021
1673085518,286,2.297086239,1.20851481
1673085519,287,2.213559151,1.365481257
1673085520,288,2.152678013,1.059387922
1673085520,289,2.187496424,1.040368438
1673085521,290,2.235540867,1.309435129
1673085522,291,2.134774685,1.525615335
1673085523,292,2.208010435,1.460395217
1673085523,293,2.253734827,1.036366105
1673085524,294,2.133745432,1.488225937
1673085525,295,2.299417973,1.35049808
1673085526,296,2.265341282,1.782263875
1673085527,297,2.114769459,0.938296616
1673085527,298,2.265811205,1.313795686
1673085528,299,2.258776665,1.149900436
1673085529,300,2.158238411,0.913559377
1673085530,301,1.980156422,1.319806933
1673085530,302,2.017944098,0.877169311
1673085531,303,2.130322933,1.002530932
1673085532,304,1.944832087,1.143103004
1673085533,305,2.024558067,1.071434379
1673085533,306,2.11649847,1.462061882
1673085534,307,2.203697681,1.197116733
1673085535,308,1.983253121,0.978291929
1673085535,309,2.032198906,1.154878378
1673085536,310,1.994395018,1.479327798
1673085537,311,1.933653355,1.062318563
1673085538,312,2.066237211,0.891282201
1673085538,313,1.992369652,0.825734258
1673085539,314,1.917386293,1.142465949
1673085540,315,1.998645425,0.851692379
1673085540,316,1.968467593,1.443264008
