Wall time,Step,Acc,Loss
1673260490,183,0.995107651,0.018373784
1673260499,184,0.99804306,0.004048609
1673260508,185,0.99804306,0.005524986
1673260517,186,0.99706459,0.009381629
1673260526,187,0.99804306,0.006362951
1673260534,188,0.99902153,0.006323025
1673260543,189,0.99804306,0.023330383
1673260552,190,0.996086121,0.023630384
1673260560,191,0.99902153,0.003918334
1673260569,192,0.99706459,0.017463367
1673260578,193,0.99804306,0.014199073
1673260587,194,0.99804306,0.006300851
1673260596,195,0.996086121,0.021129092
1673260605,196,0.99804306,0.006521601
1673260614,197,0.99706459,0.009499083
1673260623,198,0.99706459,0.007653456
1673260632,199,0.99902153,0.004554425
1673260640,200,0.99902153,0.004199673
1673260649,201,1,0.002538485
1673260658,202,1,0.001526724
1673260666,203,0.996086121,0.011133429
1673260675,204,0.99902153,0.003084777
1673260684,205,0.99804306,0.003975341
1673260693,206,0.99902153,0.002047021
1673260702,207,0.99804306,0.003185932
1673260711,208,0.99902153,0.003598798
1673260719,209,0.99706459,0.034768444
1673260729,210,0.996086121,0.00912506
1673260742,211,0.99706459,0.006119085
1673260753,212,0.99804306,0.008132331
1673260764,213,0.99804306,0.007957788
1673260775,214,0.99804306,0.003761959
1673260786,215,0.99804306,0.003403026
1673260797,216,0.99706459,0.00837576
1673260808,217,0.99902153,0.004711065
1673260819,218,0.996086121,0.01204343
1673260830,219,0.99804306,0.005356033
1673260841,220,0.99902153,0.004016405
1673260852,221,0.99706459,0.009559786
1673260864,222,1,0.002440329
1673260874,223,0.99804306,0.008002049
1673260886,224,0.996086121,0.013124726
1673260897,225,1,0.001260344
1673260910,226,0.99804306,0.004073801
1673260923,227,1,0.001073196
1673260937,228,0.99804306,0.00753455
1673260947,229,0.99902153,0.003378863
1673260958,230,0.99902153,0.003181835
1673260967,231,1,0.000854428
1673260977,232,1,0.000592097
1673260986,233,0.99706459,0.009665454
1673260995,234,0.99804306,0.004623614
1673261004,235,0.99902153,0.003063588
1673261013,236,0.99706459,0.006622115
1673261021,237,0.99804306,0.00701215
1673261030,238,0.99902153,0.003997494
1673261039,239,0.996086121,0.01440736
1673261048,240,1,0.001650546
1673261058,241,0.99804306,0.00592805
1673261067,242,0.99902153,0.001870058
1673261076,243,0.99902153,0.002462937
1673261085,244,1,0.001007603
1673261094,245,0.99804306,0.002888915
1673261104,246,1,0.001288703
